127.0.0.1 - - [29/Jul/2022:14:37:02 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Jul/2022:14:37:04 +0900] "GET /MustHaveJSP/08Board/List.jsp HTTP/1.1" 200 41293
0:0:0:0:0:0:0:1 - - [29/Jul/2022:14:37:05 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [29/Jul/2022:14:37:06 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 1478
0:0:0:0:0:0:0:1 - - [29/Jul/2022:14:37:10 +0900] "POST /MustHaveJSP/06Session/LoginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2022:14:37:10 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [29/Jul/2022:15:23:12 +0900] "GET /MustHaveJSP/06Session/Logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2022:15:23:12 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 1478
0:0:0:0:0:0:0:1 - - [29/Jul/2022:15:23:13 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 1478
0:0:0:0:0:0:0:1 - - [29/Jul/2022:15:51:55 +0900] "GET /MustHaveJSP/08Board/List.jsp HTTP/1.1" 200 41293
0:0:0:0:0:0:0:1 - - [29/Jul/2022:15:51:59 +0900] "GET /MustHaveJSP/08Board/View.jsp?num=210 HTTP/1.1" 200 1732
0:0:0:0:0:0:0:1 - - [29/Jul/2022:15:52:00 +0900] "GET /MustHaveJSP/08Board/List.jsp HTTP/1.1" 200 41293
0:0:0:0:0:0:0:1 - - [29/Jul/2022:15:52:03 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 1478
0:0:0:0:0:0:0:1 - - [29/Jul/2022:15:52:08 +0900] "POST /MustHaveJSP/06Session/LoginProcess.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jul/2022:15:52:08 +0900] "GET /MustHaveJSP/06Session/LoginForm.jsp HTTP/1.1" 200 753
0:0:0:0:0:0:0:1 - - [29/Jul/2022:15:52:09 +0900] "GET /MustHaveJSP/08Board/List.jsp HTTP/1.1" 200 41293
0:0:0:0:0:0:0:1 - - [29/Jul/2022:15:52:10 +0900] "GET /MustHaveJSP/08Board/View.jsp?num=210 HTTP/1.1" 200 1914
